name,age_Ga,reported_age_error_Ga,N1_km-2,reported_N1_error_km-2
Cone,0.025,0.012,2.1e-05,5e-06
North Ray,0.053,0.008,3.84e-05,1.14e-05
Tycho,0.109,0.004,7.12e-05,1.88e-05
Copernicus,0.8,0.015,0.000653,0.00035
Chang'e-5,2.03,0.004,0.001696,0.000221
Chang'e-6 local,2.83,0.005,0.00201,0.0009
Apollo 12,3.15,0.04,0.0036,0.0011
Luna 24,3.22,0.02,0.003,0.0006
Apollo 15,3.3,0.02,0.0032,0.0011
Luna 16,3.41,0.04,0.0033,0.001
Apollo 11 young,3.58,0.01,0.0064,0.002
Apollo 17,3.75,0.01,0.01,0.003
Apollo 11 old,3.8,0.02,0.009,0.0018
Apollo 14,3.85,0.02,0.037,0.007
Apollo 16,3.92,0.03,0.034,0.007
