canonical_name,source_name,sheet_row,age_cell,N1_cell
Cone,Cone crater,2,D2,B2
North Ray,North Ray craterb,3,D3,B3
Tycho,Tycho craterb,4,D4,B4
Copernicus,Copernicusb,5,D5,B5
Chang'e-5,"Chang'e-5d,e",6,D6,B6
Chang'e-6 local,"Chang'e-6f,g",7,D7,B7
Apollo 12,Ocean Procellarum (A12),8,D8,B8
Luna 24,Mare Crisium (L24),9,D9,B9
Apollo 15,Mare Imbrium (A15),10,D10,B10
Luna 16,Mare Fecunditatis (L16),11,D11,B11
Apollo 11 young,Mare Tranquilitatis (young) (A11),12,D12,B12
Apollo 17,Mare Serenitatis (A17),13,D13,B13
Apollo 11 old,Mare Tranquilitatis (old) (A11),14,D14,B14
Apollo 14,Fra Mauro (A14),15,D15,B15
Apollo 16,Descartes (A16),16,D16,B16
