name,age_Ga,reported_age_error_Ga,N1_km-2,reported_N1_error_km-2
Highland (terrae),4.35,0.1,0.36,0.11
Nectaris Basin (Apollo 16),4.1,0.1,0.12,0.04
Apennines (Apollo 15),3.91,0.1,0.035,0.005
Descartes Formation (Apollo 16),3.9,0.1,0.034,0.007
Fra Mauro Formation (Apollo 14),3.91,0.1,0.037,0.007
Taurus-Littrow Mare (Apollo 17),3.7,0.1,0.01,0.003
Mare Tranquillitatis old (Apollo 11),3.72,0.1,0.009,0.0018
Mare Tranquillitatis young (Apollo 11),3.53,0.05,0.0064,0.002
Mare Imbrium (Apollo 15),3.28,0.1,0.0032,0.0011
Oceanus Procellarum (Apollo 12),3.18,0.1,0.0036,0.0011
Mare Fecunditatis (Luna 16),3.4,0.04,0.0033,0.001
Mare Crisium (Luna 24),3.3,0.1,0.003,0.0006
Copernicus (Apollo 12),0.85,0.2,0.0013,0.0003
Tycho (Apollo 17),0.109,0.004,9e-05,1.8e-05
North Ray (Apollo 16),0.05,0.0014,4.4e-05,1.1e-05
Cone (Apollo 14),0.026,0.0008,2.1e-05,5e-06
"Phanerozoic craters, lunar equivalent",0.375,0.075,0.00036,0.00011
