name,age_Ga,reported_age_error_Ga,N1_km-2,reported_N1_error_km-2
Apollo 14,3.922,0.012,0.0382,0.0107
Apollo 17,3.752,0.007,0.0106,0.0021
Apollo 11,3.578,0.009,0.00664,0.000561
Apollo 15,3.281,0.012,0.00223,0.00012
Apollo 12,3.242,0.013,0.00234,5e-05
Luna 16,3.382,0.014,0.00432,1e-05
Luna 24,3.328,0.021,0.00254,8e-05
Copernicus,0.8,0.015,0.000668,4.8e-06
Tycho,0.109,0.004,7.12e-05,6.3e-07
North Ray,0.0503,0.0008,3.9e-05,4.3e-07
Cone,0.026,0.0008,2.1e-05,5e-06
Chang'e-5,2.03,0.004,0.00174,2.2e-05
Chang'e-6 local,2.807,0.003,0.00208,0.00013
SPA basin,4.247,0.005,0.369,0.048
