age_Ga,Neukum,Cui2024,Yue2026,Neukum_plus_CE6L,Cui2024_plus_CE6L,Yue2026_plus_CE6L
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,4.190000001917997e-06,3.82600000071072e-06,3.68850000015037e-06,4.409564704788225e-06,4.084730315373165e-06,3.7659780172880795e-06
0.01,8.380000003903617e-06,7.652000001447478e-06,7.37700000030656e-06,8.819129410068781e-06,8.169460630749077e-06,7.531956034584292e-06
0.015,1.2570000005959246e-05,1.147800000221123e-05,1.1065500000468795e-05,1.3228694115857496e-05,1.2254190946127843e-05,1.1297934051888947e-05
0.02,1.676000000808735e-05,1.5304000003002957e-05,1.475400000063731e-05,1.763825882217071e-05,1.633892126150958e-05,1.5063912069202371e-05
0.025,2.095000001029049e-05,1.9130000003823695e-05,1.844250000081235e-05,2.2047823529025285e-05,2.04236515768944e-05,1.8829890086524893e-05
0.03,2.51400000125713e-05,2.2956000004674495e-05,2.2131000000994158e-05,2.6457388236438618e-05,2.4508381892282422e-05,2.2595868103856862e-05
0.035,2.933000001493253e-05,2.678200000555647e-05,2.5819500001183013e-05,3.086695294442869e-05,2.859311220767378e-05,2.6361846121198646e-05
0.04,3.3520000017377e-05,3.0608000006470745e-05,2.9508000001379166e-05,3.527651765301401e-05,3.2677842523068604e-05,3.0127824138550608e-05
0.045,3.771000001990766e-05,3.443400000741853e-05,3.319650000158292e-05,3.968608236221375e-05,3.676257283846702e-05,3.389380215591314e-05
0.05,4.190000002252756e-05,3.826000000840103e-05,3.688500000179456e-05,4.409564707204764e-05,4.0847303153869186e-05,3.765978017328665e-05
0.055,4.6090000025239814e-05,4.208600000941952e-05,4.057350000201439e-05,4.850521178253608e-05,4.493203346927524e-05,4.142575819067156e-05
0.06,5.02800000280477e-05,4.591200001047533e-05,4.426200000224272e-05,5.29147764937001e-05,4.9016763784685325e-05,4.519173620806829e-05
0.065,5.447000003095458e-05,4.973800001156982e-05,4.79505000024799e-05,5.732434120556144e-05,5.310149410009962e-05,4.895771422547732e-05
0.07,5.866000003396396e-05,5.35640000127044e-05,5.163900000272626e-05,6.17339059181425e-05,5.718622441551828e-05,5.2723692242899094e-05
0.075,6.285000003707943e-05,5.739000001388054e-05,5.5327500002982134e-05,6.614347063146641e-05,6.127095473094146e-05,5.648967026033409e-05
0.08,6.704000004030475e-05,6.121600001509977e-05,5.9016000003247936e-05,7.055303534555709e-05,6.535568504636939e-05,6.0255648277782847e-05
0.085,7.12300000436438e-05,6.504200001636369e-05,6.270450000352403e-05,7.496260006043917e-05,6.94404153618022e-05,6.402162629524586e-05
0.09,7.542000004710054e-05,6.886800001767388e-05,6.639300000381078e-05,7.937216477613807e-05,7.352514567724009e-05,6.77876043127237e-05
0.095,7.961000005067918e-05,7.269400001903209e-05,7.008150000410866e-05,8.378172949268007e-05,7.76098759926833e-05,7.155358233021692e-05
0.1,8.380000005438399e-05,7.652000002044008e-05,7.377000000441806e-05,8.819129421009229e-05,8.169460630813199e-05,7.53195603477261e-05
0.105,8.799000005821941e-05,8.03460000218996e-05,7.745850000473942e-05,9.260085892840267e-05,8.577933662358641e-05,7.908553836525184e-05
0.11,9.218000006219008e-05,8.417200002341262e-05,8.114700000507324e-05,9.701042364764013e-05,8.986406693904679e-05,8.285151638279481e-05
0.115,9.637000006630073e-05,8.799800002498107e-05,8.483550000541997e-05,0.00010141998836783443,9.394879725451333e-05,8.661749440035563e-05
0.12,0.00010056000007055631,9.182400002660697e-05,8.852400000578011e-05,0.00010582955308901636,9.803352756998629e-05,9.038347241793499e-05
0.125,0.00010475000007496193,9.565000002829244e-05,9.22125000061542e-05,0.00011023911781121769,0.00010211825788546593,9.414945043553364e-05
0.13,0.00010894000007952288,9.947600003003966e-05,9.590100000654278e-05,0.00011464868253447115,0.0001062029882009525,9.791542845315226e-05
0.135,0.00011313000008424466,0.00010330200003185089,9.95895000069464e-05,0.00011905824725881056,0.00011028771851644629,0.00010168140647079164
0.14,0.00011732000008913289,0.00010712800003372848,0.00010327800000736563,0.0001234678119842709,0.00011437244883194757,0.00010544738448845256
0.145,0.00012151000009419346,0.00011095400003567483,0.00010696650000780106,0.0001278773767108881,0.00011845717914745663,0.00010921336250613584
0.15,0.00012570000009943247,0.0001147800000376925,0.00011065500000825338,0.00013228694143869945,0.00012254190946297378,0.00011297934052384236
0.155,0.0001298900001048562,0.0001186060000397841,0.0001143435000087232,0.00013669650616774328,0.00012662663977849935,0.00011674531854157298
0.16,0.0001340800001104711,0.00012243200004195232,0.0001180320000092112,0.00014110607089805926,0.0001307113700940337,0.00012051129655932866
0.165,0.00013827000011628406,0.00012625800004419996,0.0001217205000097181,0.0001455156356296883,0.0001347961004095771,0.0001242772745771103
0.17,0.00014246000012230192,0.00013008400004652998,0.00012540900001024464,0.00014992520036267252,0.00013888083072512993,0.00012804325259491893
0.17500000000000002,0.00014665000012853194,0.00013391000004894533,0.0001290975000107915,0.0001543347650970556,0.0001429655610406926,0.00013180923061275557
0.18,0.0001508400001349816,0.00013773600005144914,0.00013278600001135956,0.00015874432983288238,0.00014705029135626544,0.00013557520863062127
0.185,0.0001550300001416587,0.0001415620000540447,0.0001364745000119496,0.0001631538945701994,0.00015113502167184894,0.0001393411866485172
0.19,0.00015922000014857122,0.00014538800005673536,0.0001401630000125625,0.00016756345930905452,0.0001552197519874434,0.00014310716466644444
0.195,0.00016341000015572744,0.0001492140000595246,0.0001438515000131991,0.0001719730240494972,0.00015930448230304936,0.00014687314268440422
0.2,0.00016760000016313595,0.00015304000006241604,0.00014754000001386035,0.00017638258879157845,0.00016338921261866722,0.0001506391207023978
0.20500000000000002,0.0001717900001708057,0.00015686600006541336,0.00015122850001454718,0.00018079215353535098,0.00016747394293429744,0.00015440509872042646
0.21,0.0001759800001787458,0.00016069200006852048,0.0001549170000152606,0.00018520171828086913,0.0001715586732499405,0.00015817107673849148
0.215,0.00018017000018696593,0.0001645180000717415,0.00015860550001600162,0.00018961128302818906,0.00017564340356559697,0.00016193705475659435
0.22,0.00018436000019547585,0.00016834400007508044,0.00016229400001677136,0.00019402084777736867,0.00017972813388126736,0.00016570303277473644
0.225,0.00018855000020428578,0.00017217000007854177,0.00016598250001757084,0.00019843041252846778,0.00018381286419695214,0.0001694690107929193
0.23,0.00019274000021340636,0.00017599600008212985,0.00016967100001840133,0.00020283997728154802,0.00018789759451265194,0.00017323498881114443
0.23500000000000001,0.0001969300002228485,0.00017982200008584943,0.00017335950001926391,0.00020724954203667318,0.00019198232482836732,0.00017700096682941348
0.24,0.00020112000023262352,0.00018364800008970525,0.0001770480000201599,0.00021165910679390892,0.00019606705514409891,0.00018076694484772812
0.245,0.0002053100002427432,0.0001874740000937023,0.00018073650002109059,0.00021606867155332316,0.00020015178545984737,0.0001845329228660901
0.25,0.00020950000025321967,0.00019130000009784585,0.00018442500002205725,0.0002204782363149859,0.00020423651577561333,0.00018829890088450124
0.255,0.00021369000026406548,0.00019512600010214117,0.00018811350002306135,0.00022488780107896944,0.0002083212460913975,0.00019206487890296338
0.26,0.00021788000027529373,0.00019895200010659384,0.0001918020000241043,0.00022929736584534837,0.00021240597640720057,0.0001958308569214785
0.265,0.00022207000028691786,0.00020277800011120965,0.00019549050002518764,0.00023370693061419974,0.00021649070672302332,0.00019959683494004857
0.27,0.00022626000029895183,0.00020660400011599452,0.00019917900002631292,0.00023811649538560298,0.0002205754370388665,0.00020336281295867573
0.275,0.00023045000031141004,0.00021043000012095474,0.00020286750002748174,0.00024252606015964017,0.00022466016735473094,0.0002071287909773622
0.28,0.00023464000032430752,0.00021425600012609666,0.00020655600002869582,0.00024693562493639603,0.0002287448976706174,0.00021089476899611016
0.28500000000000003,0.00023883000033765974,0.00021808200013142694,0.00021024450002995684,0.0002513451897159579,0.00023282962798652686,0.00021466074701492201
0.29,0.00024302000035148266,0.00022190800013695245,0.00021393300003126668,0.0002557547544984159,0.00023691435830246012,0.00021842672503380014
0.295,0.000247210000365793,0.00022573400014268047,0.00021762150003262724,0.00026016431928386325,0.00024099908861841817,0.00022219270305274714
0.3,0.00025140000038060786,0.0002295600001486183,0.00022131000003404046,0.00026457388407239617,0.000245083818934402,0.00022595868107176564
0.305,0.0002555900003959451,0.0002333860001547737,0.00022499850003550838,0.00026898344886411367,0.0002491685492504126,0.00022972465909085836
0.31,0.000259780000411823,0.00023721200016115456,0.0002286870000370331,0.0002733930136591182,0.000253253279566451,0.00023349063711002808
0.315,0.0002639700004282608,0.00024103800016776918,0.00023237550003861687,0.00027780257845751546,0.0002573380098825184,0.00023725661512927782
0.32,0.0002681600004452781,0.0002448640001746261,0.0002360640000402619,0.0002822121432594145,0.0002614227401986158,0.00024102259314861057
0.325,0.00027235000046289543,0.0002486900001817343,0.00023975250004197064,0.00028662170806492785,0.0002655074705147444,0.00024478857116802955
0.33,0.00027654000048113394,0.0002525160001891029,0.0002434410000437455,0.00029103127287417174,0.00026959220083090554,0.000248554549187538
0.335,0.00028073000050001537,0.00025634200019674145,0.00024712950004558904,0.0002954408376872662,0.0002736769311471004,0.00025232052720713943
0.34,0.00028492000051956256,0.0002601680002046598,0.000250818000047504,0.0002998504025043348,0.00027776166146333036,0.0002560865052268373
0.34500000000000003,0.000289110000539799,0.0002639940002128683,0.00025450650004949296,0.00030425996732550553,0.0002818463917795967,0.00025985248324663534
0.35000000000000003,0.0002933000005607488,0.00026782000022137743,0.000258195000051559,0.00030866953215091017,0.000285931122095901,0.0002636184612665373
0.355,0.00029749000058243723,0.0002716460002301983,0.0002618835000537049,0.00031307909698068484,0.0002900158524122446,0.0002673844392865472
0.36,0.0003016800006048904,0.00027547200023934237,0.000265572000055934,0.00031748866181497,0.0002941005827286292,0.00027115041730666915
0.365,0.0003058700006281352,0.00027929800024882145,0.0002692605000582493,0.00032189822665391074,0.0002981853130450563,0.0002749163953269075
0.37,0.00031006000065219956,0.0002831240002586478,0.0002729490000606542,0.0003263077914976567,0.0003022700433615277,0.0002786823733472666
0.375,0.00031425000067711236,0.0002869500002688341,0.0002766375000631522,0.0003307173563463623,0.00030635477367804497,0.0002824483513677511
0.38,0.0003184400007029036,0.00029077600027939356,0.0002803260000657469,0.0003351269212001871,0.00031043950399461,0.0002862143293883659
0.385,0.00032263000072960406,0.00029460200029033995,0.000284014500068442,0.00033953648605929555,0.0003145242343112247,0.0002899803074091157
0.39,0.0003268200007572459,0.00029842800030168733,0.00028770300007124145,0.00034394605092385766,0.000318608964627891,0.0002937462854300059
0.395,0.00033101000078586233,0.0003022540003134504,0.00029139150007414925,0.00034835561579404863,0.0003226936949446109,0.0002975122634510418
0.4,0.0003352000008154877,0.00030608000032564443,0.00029508000007716964,0.0003527651806700495,0.0003267784252613865,0.0003012782414722289
0.405,0.00033939000084615763,0.0003099060003382851,0.00029876850008030685,0.00035717474555204705,0.0003308631555782201,0.00030504421949357303
0.41000000000000003,0.00034358000087790887,0.00031373200035138895,0.0003024570000835655,0.000361584310440234,0.0003349478858951138,0.00030881019751508016
0.41500000000000004,0.00034777000091077955,0.0003175580003649729,0.00030614550008695033,0.0003659938753348094,0.00033903261621207016,0.0003125761755367566
0.42,0.00035196000094480913,0.0003213840003790544,0.0003098340000904661,0.00037040344023597853,0.00034311734652909143,0.0003163421535586086
0.425,0.0003561500009800386,0.0003252100003936518,0.00031352250009411797,0.00037481300514395356,0.0003472020768461804,0.0003201081315806431
0.43,0.00036034000101651013,0.000329036000408784,0.0003172110000979112,0.00037922257005895314,0.0003512868071633396,0.0003238741096028669
0.435,0.0003645300010542675,0.00033286200042447053,0.00032089950010185124,0.00038363213498120315,0.0003553715374805718,0.00032764008762528737
0.44,0.00036872000109335615,0.00033668800044073184,0.00032458800010594385,0.0003880416999109367,0.00035945626779788,0.000331406065647912
0.445,0.00037291000113382297,0.0003405140004575888,0.0003282765001101948,0.0003924512648483944,0.0003635409981152669,0.0003351720436707484
