branch,point,age_Ga,age_error_Ga,N1,N1_error,published_relative_residual,plus_CE6L_relative_residual
Neukum,Highland (terrae),4.35,0.1,0.36,0.11,-0.877884254307399,-0.20608854971516744
Neukum,Nectaris Basin (Apollo 16),4.1,0.1,0.12,0.04,-0.01952468388647577,0.23277013792568935
Neukum,Apennines (Apollo 15),3.91,0.1,0.035,0.005,-0.004167885246212144,0.14215507765402324
Neukum,Descartes Formation (Apollo 16),3.9,0.1,0.034,0.007,0.029301699531837255,0.16511892108515502
Neukum,Fra Mauro Formation (Apollo 14),3.91,0.1,0.037,0.007,0.05011145990223154,0.18852507345650837
Neukum,Taurus-Littrow Mare (Apollo 17),3.7,0.1,0.01,0.003,-0.05366741229144312,-0.02988656462190198
Neukum,Mare Tranquillitatis old (Apollo 11),3.72,0.1,0.009,0.0018,-0.29543496430835936,-0.2517615446664063
Neukum,Mare Tranquillitatis young (Apollo 11),3.53,0.05,0.0064,0.002,0.18008859316482584,0.13869146277258138
Neukum,Mare Imbrium (Apollo 15),3.28,0.1,0.0032,0.0011,0.014536691650807843,-0.05805961868049936
Neukum,Oceanus Procellarum (Apollo 12),3.18,0.1,0.0036,0.0011,0.20353025333240038,0.1482326863365614
Neukum,Mare Fecunditatis (Luna 16),3.4,0.04,0.0033,0.001,-0.14518781000624736,-0.22797774262700865
Neukum,Mare Crisium (Luna 24),3.3,0.1,0.003,0.0006,-0.07680944152527158,-0.15665533615281646
Neukum,Copernicus (Apollo 12),0.85,0.2,0.0013,0.0003,0.45207690798778455,0.4233645384292064
Neukum,Tycho (Apollo 17),0.109,0.004,9e-05,1.8e-05,-0.014911111793165288,-0.06809456337463393
Neukum,North Ray (Apollo 16),0.05,0.0014,4.4e-05,1.1e-05,0.04772727221528261,-0.002173797091991947
Neukum,Cone (Apollo 14),0.026,0.0008,2.1e-05,5e-06,-0.03752381003525462,-0.09189221287917526
Neukum,"Phanerozoic craters, lunar equivalent",0.375,0.075,0.00036,0.00011,0.12708333145246575,0.08134067681566026
Neukum,CE6_L,2.936,0.026,0.00316,0.00011,0.20959182706770896,0.1629101309624379
Cui2024,Cone,0.025,0.012,2.1e-05,5e-06,0.08904761886553836,0.027445163005028528
Cui2024,North Ray,0.053,0.008,3.84e-05,1.14e-05,-0.056135416901242685,-0.12755576414355052
Cui2024,Tycho,0.109,0.004,7.12e-05,1.88e-05,-0.17144382054923657,-0.2506618100555369
Cui2024,Copernicus,0.8,0.015,0.000653,0.00035,0.06254210395484205,-0.0008527584977644498
Cui2024,Chang'e-5,2.03,0.004,0.001696,0.000221,0.08408086835184714,0.022162847152194298
Cui2024,Chang'e-6 local,2.83,0.005,0.00201,0.0009,-0.08411446509031695,-0.15292766731785856
Cui2024,Apollo 12,3.15,0.04,0.0036,0.0011,0.29279471246666366,0.26735543492266156
Cui2024,Luna 24,3.22,0.02,0.003,0.0006,0.10390799015826713,0.08644756061473946
Cui2024,Apollo 15,3.3,0.02,0.0032,0.0011,0.08621922381118396,0.09373628042961968
Cui2024,Luna 16,3.41,0.04,0.0033,0.001,-0.05749211221306161,0.011256750474729849
Cui2024,Apollo 11 young,3.58,0.01,0.0064,0.002,0.10447097639081493,0.2662043472177973
Cui2024,Apollo 17,3.75,0.01,0.01,0.003,-0.3037565240656308,0.03573796850776245
Cui2024,Apollo 11 old,3.8,0.02,0.009,0.0018,-0.9421147169638047,-0.4201799041011587
Cui2024,Apollo 14,3.85,0.02,0.037,0.007,0.35601954743250785,0.5302819269466124
Cui2024,Apollo 16,3.92,0.03,0.034,0.007,-0.10456660248185501,0.18722522350104942
Cui2024,CE6_L,2.936,0.026,0.00316,0.00011,0.27984489787333267,0.23707201326267768
Yue2026,Apollo 14,3.922,0.012,0.0382,0.0107,0.045412513124552745,0.0710968469017429
Yue2026,Apollo 17,3.752,0.007,0.0106,0.0021,-0.13194479759384237,-0.1249083519166343
Yue2026,Apollo 11,3.578,0.009,0.00664,0.000561,0.23168919214519945,0.22223934724653505
Yue2026,Apollo 15,3.281,0.012,0.00223,0.00012,-0.20108411752685784,-0.22773359093530843
Yue2026,Apollo 12,3.242,0.013,0.00234,5e-05,-0.10405939363099215,-0.1285889947187604
Yue2026,Luna 16,3.382,0.014,0.00432,1e-05,0.2938527432196353,0.2787800093857743
Yue2026,Luna 24,3.328,0.021,0.00254,8e-05,-0.11172365260526318,-0.1361525460696391
Yue2026,Copernicus,0.8,0.015,0.000668,4.8e-06,0.11652694358204252,0.097969333881327
Yue2026,Tycho,0.109,0.004,7.12e-05,6.3e-07,-0.12934410119389694,-0.15306630307984292
Yue2026,North Ray,0.0503,0.0008,3.9e-05,4.3e-07,0.04855615379980749,0.028570798606937786
Yue2026,Cone,0.026,0.0008,2.1e-05,5e-06,0.08665714281675418,0.06747211000045139
Yue2026,Chang'e-5,2.03,0.004,0.00174,2.2e-05,0.13933891517438635,0.12125881172524433
Yue2026,Chang'e-6 local,2.807,0.003,0.00208,0.00013,0.001070258926410439,-0.020124610920661645
Yue2026,SPA basin,4.247,0.005,0.369,0.048,-0.08236191947601124,-0.01585354035100406
Yue2026,CE6_L,2.936,0.026,0.00316,0.00011,0.30864971134208574,0.2938386238166566
